Platform,Publisher,Revenue,Percentage
DS,Activision,0.57,2.25%
DS,Electronic Arts,0.85,3.36%
DS,Konami Digital Entertainment,0.2,0.79%
DS,Namco Bandai Games,0.28,1.11%
DS,Nintendo,20.13,79.63%
DS,Sega,0.33,1.31%
DS,THQ,0.29,1.15%
DS,Ubisoft,2.63,10.40%
GBA,Konami Digital Entertainment,0.8,3.91%
GBA,Nintendo,16.14,78.92%
GBA,THQ,2.48,12.13%
GBA,Ubisoft,1.03,5.04%
PC,Activision,0.48,8.48%
PC,Electronic Arts,3.07,54.24%
PC,Sega,0.04,0.71%
PC,Take-Two Interactive,1.85,32.69%
PC,Ubisoft,0.22,3.89%
PS,Activision,0.1,1.11%
PS,Electronic Arts,3.26,36.10%
PS,Konami Digital Entertainment,0.55,6.09%
PS,Sony Computer Entertainment,2.79,30.90%
PS,Take-Two Interactive,2.08,23.03%
PS,Ubisoft,0.25,2.77%
PS2,Activision,1.93,5.41%
PS2,Electronic Arts,12.35,34.61%
PS2,Konami Digital Entertainment,3.4,9.53%
PS2,Namco Bandai Games,2.43,6.81%
PS2,Sega,4.07,11.41%
PS2,Sony Computer Entertainment,8.22,23.04%
PS2,Take-Two Interactive,1.37,3.84%
PS2,THQ,0.51,1.43%
PS2,Ubisoft,1.4,3.92%
PS3,Activision,6.89,31.84%
PS3,Electronic Arts,3.81,17.61%
PS3,Namco Bandai Games,0.48,2.22%
PS3,Sega,0.61,2.82%
PS3,Sony Computer Entertainment,4.33,20.01%
PS3,Take-Two Interactive,5.33,24.63%
PS3,Ubisoft,0.19,0.88%
PS4,Namco Bandai Games,0.02,0.13%
PS4,Take-Two Interactive,15.64,99.87%
PSP,Activision,2.33,25.24%
PSP,Electronic Arts,3.15,34.13%
PSP,Konami Digital Entertainment,0.79,8.56%
PSP,Namco Bandai Games,0.52,5.63%
PSP,Sega,0.79,8.56%
PSP,Sony Computer Entertainment,1.17,12.68%
PSP,THQ,0.37,4.01%
PSP,Ubisoft,0.11,1.19%
Wii,Activision,1.58,9.49%
Wii,Electronic Arts,3.31,19.88%
Wii,Konami Digital Entertainment,1.3,7.81%
Wii,Namco Bandai Games,0.05,0.30%
Wii,Nintendo,1.03,6.19%
Wii,Sega,7.83,47.03%
Wii,THQ,0.45,2.70%
Wii,Ubisoft,1.1,6.61%
X360,Activision,1.64,4.63%
X360,Electronic Arts,7.19,20.29%
X360,Konami Digital Entertainment,0.61,1.72%
X360,Namco Bandai Games,2.18,6.15%
X360,Sega,1.55,4.37%
X360,Take-Two Interactive,16.38,46.23%
X360,THQ,4.33,12.22%
X360,Ubisoft,1.55,4.37%
